Name;PIN;Balance;Account Number
John Doe;012108;100;112233
Jane Doe;932012;30;112244
Rizky;000001;1000;000001
Yoga;000002;1000;000002
Oktora;000003;1000;000003
Jean;000004;1000;000004
Bruce;000005;1000;000005
Diana;000006;1000;000006
Clark;000007;1000;000007
Hal;000008;1000;000008
Tiara;000009;1000;000009
Tony;000010;1000;000010
Steve;000011;1000;000011
Natasha;000012;1000;000012
Mike;000013;1000;000013
Angel;000014;1000;000014
Leo;000015;1000;000015
Buble;000016;1000;000016
Risa;000017;1000;000017
Dola;000018;1000;000018
